LSOA_Code,Health_Score,Health_Rank,Health_Decile
E01000427,-0.936,28280,9
E01000428,0.369,10735,4
E01000429,0.498,9119,3
E01000430,-0.594,24645,8
E01000431,0.225,12705,4
E01000432,-0.08,17269,6
E01000433,0.601,7917,3
E01000434,0.629,7618,3
E01000435,-0.158,18513,6
E01000436,-1.169,30098,10
E01000437,-0.314,20868,7
E01000438,-0.719,26117,8
E01000439,-0.385,21925,7
E01000440,-1.398,31334,10
E01000441,0.227,12684,4
E01000442,-0.759,26565,9
E01000443,-0.033,16511,6
E01000444,-1.493,31680,10
E01000445,-1.253,30615,10
E01000446,-0.71,26028,8
E01000447,-0.727,26209,8
E01000448,-1.029,29057,9
E01000449,-0.824,27245,9
E01000450,-0.456,22844,7
E01000451,-0.978,28641,9
E01000452,-0.962,28518,9
E01000453,-1.101,29599,10
E01000454,-0.291,20505,7
E01000455,-0.887,27861,9
E01000456,-1.267,30688,10
E01000457,-0.47,23014,8
E01000458,-0.809,27098,9
E01000459,-0.455,22835,7
E01000460,-1.412,31380,10
E01000461,-1.506,31722,10
E01000462,-0.471,23026,8
E01000463,-0.803,27034,9
E01000464,-0.185,18909,6
E01000465,0.065,15014,5
E01000466,-0.319,20951,7
E01000467,-0.484,23187,8
E01000468,-0.559,24172,8
E01000469,-0.269,20180,7
E01000470,0.069,14960,5
E01000471,-0.464,22944,7
E01000472,-0.718,26106,8
E01000473,-0.747,26425,9
E01000474,-0.819,27200,9
E01000475,-0.91,28063,9
E01000476,-1.101,29600,10
E01000477,-0.982,28680,9
E01000478,-1.069,29362,9
E01000479,-1.14,29880,10
E01000480,-1.037,29115,9
E01000481,-0.519,23688,8
E01000482,0.406,10242,4
E01000483,-0.053,16827,6
E01000484,-0.188,18966,6
E01000485,0.589,8071,3
E01000486,-1.159,30019,10
E01000487,-0.782,26816,9
E01000488,-0.517,23645,8
E01000489,-0.207,19237,6
E01000490,-0.308,20767,7
E01000491,-0.438,22609,7
E01000492,-0.789,26898,9
E01000493,-0.839,27387,9
E01000494,-0.257,19979,7
E01000495,0.32,11357,4
E01000497,-0.353,21493,7
E01000498,-0.357,21548,7
E01000499,-0.377,21825,7
E01000501,-0.118,17871,6
E01000502,-0.496,23375,8
E01000503,-0.478,23108,8
E01000504,-0.164,18600,6
E01000505,-0.756,26528,9
E01000506,-0.228,19542,6
E01000507,-0.748,26444,9
E01000508,-0.275,20284,7
E01000509,-0.265,20109,7
E01000510,-0.827,27268,9
E01000511,-0.148,18360,6
E01000512,-0.642,25240,8
E01000513,-0.798,26987,9
E01000514,-0.832,27310,9
E01000515,-0.487,23232,8
E01000516,-0.542,23970,8
E01000517,-1.154,29977,10
E01000518,-0.322,21004,7
E01000519,-0.534,23849,8
E01000520,-0.305,20733,7
E01000521,0.288,11785,4
E01000522,-0.268,20173,7
E01000523,-0.516,23631,8
E01000524,0.079,14824,5
E01000525,-0.32,20962,7
E01000526,0.085,14741,5
E01000527,-0.035,16538,6
E01000528,0.166,13531,5
E01000530,-0.713,26052,8
E01000531,-0.273,20245,7
E01000532,-0.442,22669,7
E01000533,0.235,12582,4
E01000534,-0.282,20371,7
E01000535,-0.18,18838,6
E01000536,-1.443,31510,10
E01000538,-1.197,30266,10
E01000539,-0.951,28409,9
E01000540,-0.93,28236,9
E01000541,-0.789,26892,9
E01000543,-0.412,22281,7
E01000544,0.165,13550,5
E01000545,-0.182,18860,6
E01000546,-0.559,24165,8
